media,country,week,articles
en_USA_wapost,RUS,2015-02-16,3.5
en_IND_hindti,JPN,2014-06-09,2
en_GBR_dailyt,USA,2014-09-29,59
en_CHN_chinad,ECU,2014-01-27,1
es_VEN_univer,ECU,2015-03-30,2.5
en_CAN_starca,DEU,2015-05-04,2.5
es_BOL_patria,CHL,2014-08-25,2
en_SGP_twoday,HUN,2015-05-18,2
es_VEN_univer,ARG,2014-08-18,15.5
es_BOL_patria,GTM,2014-07-28,2
en_GBR_guardi,USA,2014-04-07,89.1666666667
fr_FRA_lmonde,ECU,2015-02-09,1
fr_CAN_jmontr,VAT,2015-03-30,1
es_ESP_elpais,LBY,2015-02-09,0.5
es_ARG_nacion,NIC,2014-07-07,1
es_ESP_elpais,ISR,2014-11-24,2
es_BOL_patria,HND,2015-02-16,1
en_NZL_nzhera,IDN,2015-02-23,5
es_MEX_jormex,GBR,2014-11-10,0.5
en_CAN_starca,AFG,2014-07-07,2
es_MEX_univer,IRL,2015-03-09,1
en_PAK_newint,SYR,2014-08-25,5.5
en_JPN_jatime,BRA,2014-09-08,1
es_BOL_patria,ECU,2014-05-26,2
es_ARG_nacion,ISR,2014-08-18,7
en_NZL_nzhera,AUS,2014-10-13,11
fr_FRA_lmonde,SSD,2015-05-04,0.5
fr_FRA_lmonde,MEX,2015-01-26,9
en_AUS_hersun,CHN,2014-07-14,2
en_CAN_starca,NIC,2014-01-13,1
fr_FRA_lepari,BFA,2014-11-03,2
es_BOL_patria,USA,2015-01-12,2.5
en_USA_wapost,GBR,2014-08-11,0.5
es_ESP_elpais,IRN,2015-04-06,7.6666666667
en_NZL_nzhera,GUY,2014-12-15,3
en_MLT_tmalta,CIV,2014-08-18,1
en_NZL_nzhera,ROU,2015-04-27,4
es_CHL_mercur,MYS,2014-11-24,0.5
en_GBR_dailyt,SYR,2014-07-14,4
en_MLT_tmalta,ESP,2014-12-08,2
fr_FRA_lepari,TUN,2015-04-06,5
es_ESP_catalu,VAT,2014-08-04,0.5
fr_DZA_xpress,SYR,2014-07-14,6.5
es_VEN_univer,PHL,2014-10-06,1.5
en_GBR_dailyt,KEN,2014-06-23,3
en_SGP_twoday,TUR,2014-06-09,2
es_ESP_catalu,EGY,2014-05-05,0.5
en_CHN_chinad,THA,2014-09-15,1.5
es_ESP_elpais,URY,2015-05-18,1.5
en_CAN_starca,KEN,2014-11-17,4
es_CHL_mercur,PSE,2015-04-20,1
es_ARG_nacion,BIH,2015-06-01,1.5
fr_BEL_lesoir,LUX,2014-07-07,1
fr_BEL_derheu,CAN,2014-10-27,2
es_MEX_univer,VEN,2014-04-14,10
en_GBR_dailyt,HKG,2015-02-09,1
en_IND_hindti,SYR,2014-06-09,0.5
es_MEX_jormex,USA,2014-07-21,6
en_GBR_guardi,MEX,2014-10-13,8
en_USA_nytime,PAK,2014-07-07,1.5
en_JPN_jatime,RUS,2015-05-18,8.5
fr_BEL_derheu,USA,2014-07-07,5.5
