id_media,week,id_country,article_nb
en_SGP_twoday_int,2015-05-18,HUN,2
es_VEN_univer_int,2014-08-18,ARG,15.5
es_BOL_patria_int,2014-07-28,GTM,2
en_GBR_guardi_int,2014-04-07,USA,89.1666666667
fr_FRA_lmonde_int,2015-02-09,ECU,1
fr_CAN_jmontr_int,2015-03-30,VAT,1
es_ESP_elpais_int,2015-02-09,LBY,0.5
es_ARG_nacion_int,2014-07-07,NIC,1
es_ESP_elpais_int,2014-11-24,ISR,2
es_BOL_patria_int,2015-02-16,HND,1
en_NZL_nzhera_int,2015-02-23,IDN,5
es_MEX_jormex_int,2014-11-10,GBR,0.5
en_CAN_starca_int,2014-07-07,AFG,2
es_MEX_univer_int,2015-03-09,IRL,1
en_PAK_newint_int,2014-08-25,SYR,5.5
en_JPN_jatime_int,2014-09-08,BRA,1
es_BOL_patria_int,2014-05-26,ECU,2
es_ARG_nacion_int,2014-08-18,ISR,7
en_NZL_nzhera_int,2014-10-13,AUS,11
fr_FRA_lmonde_int,2015-05-04,SSD,0.5
fr_FRA_lmonde_int,2015-01-26,MEX,9
en_AUS_hersun_int,2014-07-14,CHN,2
en_CAN_starca_int,2014-01-13,NIC,1
fr_FRA_lepari_int,2014-11-03,BFA,2
es_BOL_patria_int,2015-01-12,USA,2.5
en_USA_wapost_int,2014-08-11,GBR,0.5
es_ESP_elpais_int,2015-04-06,IRN,7.6666666667
en_NZL_nzhera_int,2014-12-15,GUY,3
en_MLT_tmalta_int,2014-08-18,CIV,1
en_NZL_nzhera_int,2015-04-27,ROU,4
es_CHL_mercur_int,2014-11-24,MYS,0.5
en_GBR_dailyt_int,2014-07-14,SYR,4
en_MLT_tmalta_int,2014-12-08,ESP,2
fr_FRA_lepari_int,2015-04-06,TUN,5
es_ESP_catalu_int,2014-08-04,VAT,0.5
fr_DZA_xpress_int,2014-07-14,SYR,6.5
es_VEN_univer_int,2014-10-06,PHL,1.5
en_GBR_dailyt_int,2014-06-23,KEN,3
en_SGP_twoday_int,2014-06-09,TUR,2
es_ESP_catalu_int,2014-05-05,EGY,0.5
fr_FRA_lepari_int,2013-12-30,PRK,4
en_CHN_chinad_int,2014-09-15,THA,1.5
es_ESP_elpais_int,2015-05-18,URY,1.5
en_CAN_starca_int,2014-11-17,KEN,4
es_CHL_mercur_int,2015-04-20,PSE,1
es_ARG_nacion_int,2015-06-01,BIH,1.5
fr_BEL_lesoir_int,2014-07-07,LUX,1
fr_BEL_derheu_int,2014-10-27,CAN,2
es_MEX_univer_int,2014-04-14,VEN,10
en_GBR_dailyt_int,2015-02-09,HKG,1
en_IND_hindti_int,2014-06-09,SYR,0.5
es_MEX_jormex_int,2014-07-21,USA,6
en_GBR_guardi_int,2014-10-13,MEX,8
en_USA_nytime_int,2014-07-07,PAK,1.5
en_JPN_jatime_int,2015-05-18,RUS,8.5
fr_BEL_derheu_int,2014-07-07,USA,5.5
fr_FRA_lmonde_int,2014-12-15,GRC,5
es_MEX_univer_int,2015-06-08,VEN,9.3333333333
es_VEN_univer_int,2015-02-23,MAR,1
en_CHN_chinad_int,2014-05-12,RUS,7
es_BOL_larazo_int,2015-03-02,LBY,1
en_NZL_nzhera_int,2014-01-06,YEM,2
es_VEN_univer_int,2015-05-11,LUX,1
es_ESP_catalu_int,2014-05-26,ITA,1.5
es_MEX_univer_int,2015-03-09,SLE,0.5
en_IND_tindia_int,2015-05-25,PAK,7
es_VEN_univer_int,2014-09-22,ALB,0.5
es_CHL_mercur_int,2015-02-02,LBN,0.5
en_NZL_nzhera_int,2014-04-14,PER,5
en_USA_nytime_int,2014-06-23,JPN,3
en_AUS_austra_int,2014-06-09,USA,19.5
fr_DZA_xpress_int,2014-05-26,ITA,1
en_USA_nytime_int,2015-06-08,MKD,2
en_MYS_starmy_int,2015-02-16,CUB,3.5
fr_FRA_lmonde_int,2014-04-28,CAF,5
es_CHL_tercer_int,2015-06-08,EGY,1
en_CAN_starca_int,2013-12-30,PSE,2.8333333333
en_NZL_nzhera_int,2014-07-07,ARE,3
en_NZL_nzhera_int,2015-01-26,AUS,8.5
en_NZL_nzhera_int,2015-01-05,MAR,3
en_CHN_mopost_int,2014-01-27,PER,0.5
en_JPN_jatime_int,2015-01-26,ARG,1
fr_BEL_lesoir_int,2015-01-12,NGA,3.5
en_JPN_jatime_int,2015-04-27,PRK,1
en_NZL_nzhera_int,2014-07-07,AUT,1
fr_FRA_lepari_int,2014-04-07,LVA,0.5
en_CAN_starca_int,2014-08-11,VAT,0.5
en_SGP_twoday_int,2015-06-01,MAC,1
en_CAN_starca_int,2014-03-03,CUB,1
en_SGP_twoday_int,2015-02-09,MMR,6
en_IND_hindti_int,2014-07-07,PRK,1
en_MYS_starmy_int,2014-06-16,VEN,1
en_GBR_dailyt_int,2014-09-08,CUB,1
en_MYS_starmy_int,2014-11-17,TZA,1
en_NZL_nzhera_int,2015-01-12,IND,28.1666666667
es_CHL_tercer_int,2014-12-29,CHE,0.5
en_SGP_twoday_int,2015-01-26,CMR,1
en_IND_hindti_int,2014-12-15,USA,14
en_MLT_tmalta_int,2014-06-30,IRQ,9.5
fr_FRA_lepari_int,2015-03-30,TUR,8
en_MYS_starmy_int,2015-05-11,TUN,2.5
en_CHN_mopost_int,2014-06-30,GEO,0.5
en_NZL_nzhera_int,2014-03-03,PAK,5
en_JPN_jatime_int,2014-10-06,CAN,0.5
en_JPN_jatime_int,2014-08-11,KEN,2
fr_FRA_lmonde_int,2014-01-20,VAT,3
es_BOL_larazo_int,2014-11-10,NGA,2
en_NZL_nzhera_int,2014-12-22,PSE,7.5
es_BOL_larazo_int,2014-04-07,AFG,1
fr_FRA_lmonde_int,2014-07-28,BEL,1
en_AUS_austra_int,2014-09-29,TUN,1.5
en_GBR_dailyt_int,2015-02-16,YEM,1
en_USA_wapost_int,2015-05-25,JPN,3
en_JPN_jatime_int,2014-05-05,YEM,3
en_GBR_guardi_int,2014-12-01,MDV,1
es_BOL_larazo_int,2014-05-26,VAT,4
es_ESP_catalu_int,2014-09-22,HKG,0.5
fr_FRA_lepari_int,2014-11-24,HKG,1
en_CHN_chinad_int,2014-07-07,ARG,4
en_SGP_twoday_int,2015-05-11,CHN,47.5
en_SGP_twoday_int,2015-01-19,NLD,2.5
es_BOL_larazo_int,2015-06-15,EGY,2
en_GBR_guardi_int,2015-03-30,KEN,40.5
en_IND_tindia_int,2014-10-13,LKA,1
es_ESP_catalu_int,2014-06-30,FRA,14
fr_FRA_lmonde_int,2015-01-12,DZA,3
en_USA_wapost_int,2014-07-07,ARG,2
en_NZL_nzhera_int,2015-05-11,COG,4
en_CAN_starca_int,2015-05-25,PRK,1
es_ESP_elpais_int,2015-03-23,SOM,2
en_CHN_chinad_int,2015-02-09,JPN,3
en_JPN_jatime_int,2014-09-29,IRN,1.8333333333
es_VEN_univer_int,2014-07-14,ESP,11.5
en_GBR_guardi_int,2015-04-20,CHL,7
en_GBR_guardi_int,2015-04-06,NOR,1
en_NZL_nzhera_int,2014-04-14,AUS,6
fr_BEL_lesoir_int,2014-11-10,IND,1
fr_FRA_lepari_int,2014-06-02,NGA,1
en_MYS_starmy_int,2014-11-24,NPL,1.5
fr_CAN_jmontr_int,2014-10-06,USA,6
en_USA_nytime_int,2014-07-14,HKG,4
en_GBR_guardi_int,2014-09-22,CYP,5
fr_FRA_lmonde_int,2014-02-10,MLI,1
es_MEX_univer_int,2014-11-10,UKR,10.3333333333
es_MEX_jormex_int,2014-10-20,TUR,0.5
es_VEN_univer_int,2015-05-25,SUR,2
en_GBR_dailyt_int,2014-11-10,SLE,1
en_CHN_mopost_int,2015-05-11,SWE,0.5
fr_DZA_xpress_int,2015-01-19,YEM,1
fr_BEL_lesoir_int,2014-07-07,GBR,1
